timestamp,case,tier,sample,step,elapsed_sec,status,note
2025-11-11 10:15:06+0800,1,a,1a,bootstrap_176,19.195,ok,
2025-11-11 10:15:25+0800,1,a,1a,bootstrap_177,19.577,ok,
2025-11-11 10:15:45+0800,1,a,1a,bootstrap_178,19.284,ok,
2025-11-11 10:16:04+0800,1,a,1a,bootstrap_179,18.924,ok,
2025-11-11 10:16:22+0800,1,a,1a,bootstrap_180,18.208,ok,
2025-11-11 10:16:22+0800,1,a,1a,progress,NA,ok,bootstrap 180/200
2025-11-11 10:16:39+0800,1,a,1a,bootstrap_181,16.833,ok,
2025-11-11 10:16:58+0800,1,a,1a,bootstrap_182,19.054,ok,
2025-11-11 10:17:16+0800,1,a,1a,bootstrap_183,17.83,ok,
2025-11-11 10:17:37+0800,1,a,1a,bootstrap_184,21.062,ok,
2025-11-11 10:17:55+0800,1,a,1a,bootstrap_185,18.222,ok,
2025-11-11 10:18:13+0800,1,a,1a,bootstrap_186,18.592,ok,
2025-11-11 10:18:32+0800,1,a,1a,bootstrap_187,19.005,ok,
2025-11-11 10:18:51+0800,1,a,1a,bootstrap_188,18.384,ok,
2025-11-11 10:19:08+0800,1,a,1a,bootstrap_189,16.979,ok,
2025-11-11 10:19:27+0800,1,a,1a,bootstrap_190,19.161,ok,
2025-11-11 10:19:27+0800,1,a,1a,progress,NA,ok,bootstrap 190/200
2025-11-11 10:19:45+0800,1,a,1a,bootstrap_191,17.763,ok,
2025-11-11 10:20:02+0800,1,a,1a,bootstrap_192,17.65,ok,
2025-11-11 10:20:21+0800,1,a,1a,bootstrap_193,18.248,ok,
2025-11-11 10:20:39+0800,1,a,1a,bootstrap_194,18.535,ok,
2025-11-11 10:20:59+0800,1,a,1a,bootstrap_195,19.615,ok,
2025-11-11 10:21:18+0800,1,a,1a,bootstrap_196,19.622,ok,
2025-11-11 10:21:35+0800,1,a,1a,bootstrap_197,16.567,ok,
2025-11-11 10:21:55+0800,1,a,1a,bootstrap_198,20.054,ok,
2025-11-11 10:22:13+0800,1,a,1a,bootstrap_199,18.11,ok,
2025-11-11 10:22:32+0800,1,a,1a,bootstrap_200,18.92,ok,
2025-11-11 10:22:32+0800,1,a,1a,progress,NA,ok,bootstrap 200/200
2025-11-11 10:22:51+0800,1,a,1a,main_reduction,19.223,ok,
2025-11-11 10:22:51+0800,1,a,1a,script_end,3185.069,ok,
2025-11-13 07:06:22+0800,1,a,1a,script_start,NA,ok,
2025-11-13 07:06:22+0800,1,a,1a,read_input,0.001,ok,
2025-11-13 07:06:22+0800,1,a,1a,isoplot_read_data,0,ok,
2025-11-13 07:06:22+0800,1,a,1a,isoplot_concordia,0.19,ok,
2025-11-13 07:06:39+0800,1,a,1a,bootstrap_001,17.121,ok,
2025-11-13 07:06:39+0800,1,a,1a,script_end,17.343,ok,
2025-11-13 07:08:19+0800,1,a,1a,script_start,NA,ok,
2025-11-13 07:08:19+0800,1,a,1a,read_input,0.001,ok,
2025-11-13 07:08:19+0800,1,a,1a,isoplot_read_data,0.002,ok,
2025-11-13 07:08:21+0800,1,a,1a,isoplot_concordia,0.766,ok,
2025-11-13 07:08:40+0800,1,a,1a,bootstrap_001,18.642,ok,
2025-11-13 07:08:40+0800,1,a,1a,progress,NA,ok,bootstrap 1/200
2025-11-13 07:08:57+0800,1,a,1a,bootstrap_002,16.76,ok,
2025-11-13 07:09:12+0800,1,a,1a,bootstrap_003,15.456,ok,
2025-11-13 07:09:30+0800,1,a,1a,bootstrap_004,18.028,ok,
2025-11-13 07:09:46+0800,1,a,1a,bootstrap_005,15.726,ok,
2025-11-13 07:10:04+0800,1,a,1a,bootstrap_006,18.438,ok,
2025-11-13 07:10:20+0800,1,a,1a,bootstrap_007,15.923,ok,
2025-11-13 07:10:39+0800,1,a,1a,bootstrap_008,18.872,ok,
2025-11-13 07:10:56+0800,1,a,1a,bootstrap_009,16.855,ok,
2025-11-13 07:11:15+0800,1,a,1a,bootstrap_010,18.804,ok,
2025-11-13 07:11:15+0800,1,a,1a,progress,NA,ok,bootstrap 10/200
2025-11-13 07:11:30+0800,1,a,1a,bootstrap_011,15.613,ok,
2025-11-13 07:11:49+0800,1,a,1a,bootstrap_012,18.362,ok,
2025-11-13 07:12:06+0800,1,a,1a,bootstrap_013,17.619,ok,
2025-11-13 07:12:23+0800,1,a,1a,bootstrap_014,16.34,ok,
2025-11-13 07:12:39+0800,1,a,1a,bootstrap_015,16.672,ok,
2025-11-13 07:12:53+0800,1,a,1a,bootstrap_016,13.675,ok,
2025-11-13 07:13:07+0800,1,a,1a,bootstrap_017,13.888,ok,
2025-11-13 07:13:24+0800,1,a,1a,bootstrap_018,17.16,ok,
2025-11-13 07:13:38+0800,1,a,1a,bootstrap_019,14.326,ok,
2025-11-13 07:13:52+0800,1,a,1a,bootstrap_020,13.48,ok,
2025-11-13 07:13:52+0800,1,a,1a,progress,NA,ok,bootstrap 20/200
2025-11-13 07:14:06+0800,1,a,1a,bootstrap_021,13.908,ok,
2025-11-13 07:14:20+0800,1,a,1a,bootstrap_022,14.246,ok,
